municipio,vul_car_pob,NOM_MUN,NOM_LOC,PCON_LIMI,PHOG_IND,P5_HLI_NHE,PCON_DISC,VPH_PISODT,VPH_S_ELEC
San Fernando,"12,524",San Fernando,Total del Municipio,4136,1989,9,2023,9958,83
Siltepec,"1,082",Siltepec,Total del Municipio,1346,256,0,854,4465,97
Simojovel,"1,872",Simojovel,Total del Municipio,2074,45155,12153,1251,8677,114
Sitalá,372,Sitalá,Total del Municipio,495,15131,6672,217,2167,241
Socoltenango,"3,792",Socoltenango,Total del Municipio,2075,2263,55,970,4311,35
Solosuchiapa,"1,937",Solosuchiapa,Total del Municipio,344,2767,28,302,1805,29
Soyaló,602,Soyaló,Total del Municipio,1189,4742,38,629,2353,39
Suchiapa,"5,584",Suchiapa,Total del Municipio,1612,370,8,908,5953,94
Suchiate,"13,583",Suchiate,Total del Municipio,3224,256,3,2075,9168,232
Sunuapa,720,Sunuapa,Total del Municipio,358,59,0,212,495,15
Tapachula,"80,690",Tapachula,Total del Municipio,29268,8516,70,16426,86228,799
Tapalapa,837,Tapalapa,Total del Municipio,665,4374,89,313,907,14
Tapilula,"3,052",Tapilula,Total del Municipio,1312,2437,4,892,3108,30
Tecpatán,"3,548",Tecpatán,Total del Municipio,1731,6188,45,1231,5059,237
Tenejapa,824,Tenejapa,Total del Municipio,2063,47893,17396,1275,7959,143
Teopisca,"2,613",Teopisca,Total del Municipio,3189,26366,4453,1558,9296,200
Tila,"1,372",Tila,Total del Municipio,4128,70819,11608,2044,10972,631
Tonalá,"20,876",Tonalá,Total del Municipio,9570,841,0,5210,24634,219
Totolapa,380,Totolapa,Total del Municipio,599,817,209,376,1552,26
La Trinitaria,"8,582",La Trinitaria,Total del Municipio,5654,11918,332,3254,19570,271
Tumbalá,"1,009",Tumbalá,Total del Municipio,3202,37593,8397,1498,7059,307
Tuxtla Gutiérrez,"154,504",Tuxtla Gutiérrez,Total del Municipio,53619,26865,179,23497,161470,419
Tuxtla Chico,"12,638",Tuxtla Chico,Total del Municipio,3364,229,0,1786,9516,138
Tuzantán,"8,876",Tuzantán,Total del Municipio,2869,465,4,1553,7038,61
Tzimol,"2,691",Tzimol,Total del Municipio,2028,430,22,809,4426,45
Unión Juárez,"3,368",Unión Juárez,Total del Municipio,1184,484,2,725,3629,46
Venustiano Carranza,"6,683",Venustiano Carranza,Total del Municipio,5957,20180,809,3205,15091,293
Villa Corzo,"9,407",Villa Corzo,Total del Municipio,6632,6625,539,3629,15435,704
Villaflores,"26,105",Villaflores,Total del Municipio,10504,3993,429,5569,27425,313
